id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Lola;Rodriguez;Lily.Kihn75@yahoo.com;repurpose modular;2020-01-08T00:25:50;12617;25834
2;Miguel;Kling;Lynn.Buckridge@gmail.com;Wooden withdrawal;2020-01-07T19:26:10;9385;75289
3;Corrine;Wuckert;Arlo58@hotmail.com;Wooden;2020-01-07T21:35:12;90233;71649
4;Meredith;O'Hara;Deonte34@yahoo.com;Berkshire reinvent;2020-01-07T14:19:37;37356;15436
5;Antonina;Turner;Reuben92@yahoo.com;Albania;2020-01-08T05:42:43;54263;80529
6;Unique;MacGyver;Jensen13@gmail.com;Music pink;2020-01-07T17:04:49;95916;18581
7;Myrtice;O'Hara;Imogene95@yahoo.com;calculate Concrete Soap;2020-01-07T20:01:21;95498;15970
8;Monty;Jerde;Chandler_Wehner@gmail.com;payment Expressway;2020-01-07T10:04:00;43151;12407
9;Edwin;Abshire;June_Nicolas@gmail.com;Automated Small Concrete Chicken;2020-01-07T12:53:36;69929;43322
10;Casey;Schinner;Yasmine24@yahoo.com;e-business;2020-01-07T13:36:01;601;74069
